_HorseInfo__horse_id,_HorseInfo__frame_no,_HorseInfo__horse_no,_HorseInfo__horse_name,_HorseInfo__age,_HorseInfo__gender,_HorseInfo__load,_HorseInfo__jockey_id,_HorseInfo__jockey,_HorseInfo__jockey_handi,_HorseInfo__win_odds,_HorseInfo__popular,_HorseInfo__weight,_HorseInfo__weight_change,_HorseInfo__trainer_id,_HorseInfo__trainer,_HorseInfo__trainer_belong,_HorseInfo__owner,_HorseInfo__blank,_HorseInfo__father,_HorseInfo__mother,_HorseInfo__grandfather,_HorseInfo__running_type,_HorseInfo__country,_HorseInfo__belong,_HorseInfo__blinker,_HorseInfo__hair_color
2019103411,1,1,サンエイグレース,3,牝,54.0,00000,村上弘,,12,400.3,399,1,05671,倉地学,愛知,,1,マジェスティックウォリアー,エルビーローズ,クロフネ,追,,カク地,0,鹿
2019103073,2,2,マリブレディ,3,牝,54.0,00000,友森翔,,7,23.1,395,6,05281,塚田隆男,愛知,,1,ドゥラメンテ,ドナルチア,Malibu Moon,差,,カク地,0,鹿
2019106522,3,3,オリビアバローズ,3,牝,54.0,05171,岡部誠,,1,1.7,490,0,05200,藤ヶ崎一,愛知,,1,リオンディーズ,マザイ,ファスリエフ,追,,カク地,0,鹿
2019105471,4,4, サンパティーク,3,牝,53.0,00000,塚本征,,2,4.8,473,5,05281,塚田隆男,愛知,,5,ジャスタウェイ,モアザンセイクリッド,More Than Ready,追,,,0,黒鹿
2019106901,5,5,ルミナスブルー,3,セ,54.0,05196,宮下瞳,,3,5.0,427,2,05200,藤ヶ崎一,愛知,,1,アドマイヤムーン,ホワイトピクシイ,ホワイトマズル,差,,カク地,0,黒鹿
2019101632,5,6,ホットジュエル,3,牝,53.0,05602,細川智,,6,22.3,477,-1,05230,迫田清美,愛知,,1,ストロングリターン,ジュエルアラモード,ダイワメジャー,差,,カク地,0,栗
2019103520,6,7,エムズフラッシュ,3,牡,56.0,05489,今井貴,,9,47.3,435,-9,05200,藤ヶ崎一,愛知,,3,エイシンフラッシュ,メメクザリアーナ,ジャングルポケット,差,,カク地,0,黒鹿
2019103560,6,8, ユイノペニーワイズ,3,牡,56.0,05324,丹羽克,,4,11.5,433,-4,00823,錦見勇夫,愛知,,6,ドリームジャーニー,ストームエンジェル,ストーミングホーム,差,,,0,黒鹿
2019101455,7,9,ゼアル,3,牝,54.0,05543,山田祥,,8,40.8,418,-1,05177,藤ヶ崎一,愛知,,1,アドマイヤムーン,グリーンアイズII,Green Desert,差,,カク地,0,芦
2019101480,7,10,カラニ,3,牡,56.0,00000,加藤誓,,10,127.2,505,2,05346,荒巻透,愛知,,1,アジアエクスプレス,パイナマナ,カネヒキリ,差,,カク地,0,黒鹿
2019100365,8,11,ブタノカックーニ,3,牡,56.0,05435,柿原翔,,11,171.8,479,-2,05368,櫻井今朝,愛知,,1,ビッグアーサー,エルモアレッタ,ヨハネスブルグ,追,,カク地,0,鹿
2019105671,8,12,ニグレッド,3,牝,54.0,00000,丸山真,,,,415,7,05668,坂口義幸,愛知,,3,ヴァンセンヌ,ブラックバカラ,ロージズインメイ,先,,カク地,0,黒鹿
