_HorseResult__horse_id,_HorseResult__horse_no,_HorseResult__rank,_HorseResult__goal_time,_HorseResult__diff,_HorseResult__pass_rank,_HorseResult__agari,_HorseResult__prize
2019105471,4,1,1:37.4,-2,,39.6,0
2019101632,6,2,1:37.8,2,,40.7,0
2019106522,3,3,1:38.8,5,,41.6,0
2019106901,5,4,1:39.7,4,,41.9,0
2019100365,11,5,1:40.4,3,,41.7,0
2019103073,2,6,1:40.5,クビ,,42.4,0
2019101455,9,7,1:40.7,1,,43.3,0
2019103411,1,8,1:41.4,3,,42.4,0
2019103520,7,9,1:41.5,1/2,,44.4,0
2019101480,10,10,1:42.5,5,,44.5,0
2019103560,8,11,1:46.3,大,,48.2,0
2019105671,12,中止,,,,,0
