horse_id,horse_name,father,mother,grandfather,hair_color,farm
,グラスシフォン,シニスターミニスター,グラスルノン,フレンチデピュティ,栗,
,マライアガーネット,ミッキーロケット,メイレディ,ジェニュイン,鹿,
,クリノビッグママ,ストロングリターン,クリノツネチャン,マイネルセレクト,栗,
,ビッグファイト,バトルプラン,クッカ,ディープブリランテ,鹿,
,ピスティス,ミュゼスルタン,ハンナ,ディープインパクト,栗,
,イデアミラーグロ,トビーズコーナー,メルシーミヨ,アドマイヤボス,鹿,
,ベッケンバウアー,レーヴミストラル,マラチバンド,Dixieland Band,鹿,
,スングリダンダン,マジェスティックウォリアー,チクタクボンボン,ゴールドアリュール,栗,
,ペイシャボビー,シャンハイボビー,ペイシャマリヤ,タイキシャトル,鹿,
,エリアントゥス,アジアエクスプレス,スイートシャイン,ディープブリランテ,芦,
,ナムラオードリー,サトノアラジン,ナムラユメ,ゼンノロブロイ,黒鹿,
,メモリーグラス,イスラボニータ,ラベンダーメモリー,ナカヤマフェスタ,黒鹿,
,サイタブラウンB,カレンブラックヒル,ミスサイベリア,Giant's Causeway,栗,
,アンビバレント,ディスクリートキャット,フォーミー,アドマイヤマックス,鹿,
,ロケッツアンB,ミッキーロケット,アンナヴァン,エンドスウィープ,鹿,
,ヴァルカン,ベストウォーリア,リスクオン,マツリダゴッホ,栗,
,スリアンヴォス,ルーラーシップ,スターアクトレス,フレンチデピュティ,鹿,
,ドロップキック,ベルシャザール,スノードロップ,クロフネ,鹿,
,ラインシュトラール,タリスマニック,ラインハーディー,ゴールドアリュール,黒鹿,
,リアルマーヴェル,リアルスティール,ビアンコカンドーレ,チチカステナンゴ,芦,
,セイウンミライズ,パイロ,ハーモニックソウル,ハービンジャー,黒鹿,
,ナイトスピアー,ストロングリターン,サクラコ,メジロベイリー,黒鹿,
,ハットグットゲット,ヴィクトワールピサ,サイレントクロップ,シンボリクリスエス,青鹿,
,キタノソロモン,モンテロッソ,イントリーグ,タニノギムレット,鹿,
,ブルーステラB,パイロ,トーホウシャイン,スペシャルウィーク,栗,
,エーレウォーン,ダイワメジャー,レディヴァルール,Multiplex,鹿,
,ハクシンジャベリン,ビッグアーサー,タオルチャン,クロフネ,栗,
,リチャ,バゴ,ユースティティア,フジキセキ,青鹿,
,ホウオウバーデン,スクリーンヒーロー,パゲラ,Soldier Hollow,鹿,
,フィールザダイヤ,サトノダイヤモンド,フィールザビュウ,Distant View,鹿,
,テーオーマツカゼ,ネロ,ルーチェデルソーレ,メイショウボーラー,栗,
,ニシノセイラン,リーチザクラウン,ニシノミナミカゼ,ファルブラヴ,黒鹿,
,コスモオピニオン,ダノンバラード,オピニオン,アイルハヴアナザー,鹿,
,キョウエイボンバー,リオンディーズ,キョウエイレガシー,ハービンジャー,黒鹿,
,ロジドレフォンB,ドレフォン,アンジュシャルマン,マンハッタンカフェ,青鹿,
,エイトキングゴッド,エイシンフラッシュ,アフロディシアス,ジャングルポケット,黒鹿,
,マロンアイス,エピファネイア,マロンブーケ,ダイワメジャー,鹿,
,クリノクオン,レインボーライン,バラッドレディ,ムーンバラッド,鹿,
,ジェイケイロンドン,グレーターロンドン,ジェイケイウィン,エンパイアメーカー,鹿,
,ベルエト,ブラックタイド,タイセイエトワール,トニービン,黒鹿,
,キタノマルティス,ケープブランコ,ビアンカリボン,スペシャルウィーク,栗,
,アマイ,ダノンバラード,イオ,タイキシャトル,青鹿,
,アイベラ,イスラボニータ,スターズインヘヴン,ワークフォース,黒鹿,
,ブルーブルースカイ,ジャスタウェイ,ガーデニア,Galileo,黒鹿,
,マイネルモーント,ゴールドシップ,ゲッカコウ,ロージズインメイ,芦,
,サンバデルンバ,キズナ,ヤマン,ハービンジャー,鹿,
,シエルリーナ,バゴ,トウカイセレッソ,キングカメハメハ,青鹿,
,フクシマブルース,ゴールドシップ,マイネヴァリエンテ,コンデュイット,芦,
,タイセイマンボ,ホッコータルマエ,ロージーサンセット,キンシャサノキセキ,鹿,
,ベルウッドシキシマ,マインドユアビスケッツ,ピクシーチャーム,キングカメハメハ,鹿,
,シンキングファーザ,フリオーソ,コグノセンティ,ゴールドアリュール,栗,
,ツワモノ,ネオユニヴァース,モトヒメ,ショウナンカンプ,鹿,
,ブリガンダイン,ドゥラメンテ,ラビルキン,Indygo Shiner,鹿,
,ジェントルタッチ,Always Dreaming,アンシェリゼ,Curlin,鹿,
,モキハナ,コパノリッキー,カリストーガ,ダノンシャンティ,鹿,
,バーンキャット,ディスクリートキャット,バーンアウル,コマンズ,栗,
,トロピカルタウン,カレンブラックヒル,トロピカルタイム,ブライアンズタイム,黒鹿,
,ライヴビネガー,ビッグアーサー,ドゥエベリーニ,マンハッタンカフェ,鹿,
,デオヴォレンティ,ダノンバラード,デオ,フサイチコンコルド,青,
,アストロアイガー,レーヴミストラル,ステレッタ,マンハッタンカフェ,鹿,
,シグナルファイアーB,ラニ,パスザトーチ,ファンタスティックライト,芦,
,タマモヴェナトル,シニスターミニスター,プティトシャンティ,ダノンシャンティ,黒鹿,
,レオアメニティー,トーセンジョーダン,オチャノコサイサイ,ダイタクサージャン,黒鹿,
,コスモリボルブ,ダノンバラード,ワンダーサークル,グラスワンダー,鹿,
,キラメクホシ,ゴールドシップ,ホシノキラメキ,メイショウサムソン,芦,
,グランドカリナン,リアルインパクト,サマーティアラ,マンハッタンカフェ,鹿,
,ヤマニンエンディマ,サトノダイヤモンド,ヤマニンリップル,スペシャルウィーク,鹿,
,マーゴットミニモ,サトノダイヤモンド,フクシア,ゴールドアリュール,鹿,
,ヴェルティグレ,ドゥラメンテ,ブルーグラスチャッター,Bluegrass Cat,栗,
