horse_id,race_id,frame_no,horse_no,age,gender,load,jockey_id,jockey,jockey_handi,win_odds,popular,weight,weight_change,trainer_id,trainer,trainer_belong,owner,blank,running_type,country,belong,blinker
,202206050201,1,1,2,牝,54.0,,,,,,,,,松山,美浦,,520,先,,,0
,202206050201,1,2,2,牡,55.0,,,,,,,,,萱野,美浦,,520,差,,,0
,202206050201,2,3,2,牝,54.0,,,,,,,,,石毛,美浦,,520,先,,,0
,202206050201,2,4,2,牡,55.0,,,,,,,,,天間,美浦,,520,差,,,0
,202206050201,3,5,2,牝,51.0,,,,,,,,,大江原,美浦,,520,追,,,0
,202206050201,3,6,2,牡,55.0,,,,,,,,,本間,美浦,,520,先,,,0
,202206050201,4,7,2,牡,55.0,,,,,,,,,小桧山,美浦,,520,追,,,0
,202206050201,4,8,2,牝,54.0,,,,,,,,,南田,美浦,,520,先,,,0
,202206050201,5,9,2,牡,52.0,,,,,,,,,小西,美浦,,520,追,,,0
,202206050201,5,10,2,牝,54.0,,,,,,,,,田島,美浦,,520,先,,,0
,202206050201,6,11,2,牝,52.0,,,,,,,,,石栗,美浦,,520,差,,,0
,202206050201,6,12,2,牡,55.0,,,,,,,,,松永康,美浦,,520,差,,,0
,202206050201,7,13,2,牡,55.0,,,,,,,,,杉浦,美浦,,520,先,,,1
,202206050201,7,14,2,牡,55.0,,,,,,,,,青木,美浦,,520,先,,,0
,202206050201,8,15,2,牡,53.0,,,,,,,,,加藤士,美浦,,520,先,,,1
,202206050201,8,16,2,牝,53.0,,,,,,,,,稲垣,美浦,,520,逃,,,0
,202206050202,1,1,2,牡,55.0,,,,,,,,,和田雄,美浦,,520,差,,,0
,202206050202,1,2,2,牡,55.0,,,,,,,,,的場,美浦,,520,追,,,0
,202206050202,2,3,2,牡,55.0,,,,,,,,,水野,美浦,,520,追,,,0
,202206050202,2,4,2,牡,55.0,,,,,,,,,小桧山,美浦,,520,先,,,0
,202206050202,3,5,2,牡,55.0,,,,,,,,,奥平,美浦,,520,差,,,0
,202206050202,3,6,2,牡,55.0,,,,,,,,,小野,美浦,,520,差,,,0
,202206050202,4,7,2,牡,55.0,,,,,,,,,杉浦,美浦,,520,先,,,0
,202206050202,4,8,2,牡,53.0,,,,,,,,,石栗,美浦,,520,追,,,0
,202206050202,5,9,2,牡,55.0,,,,,,,,,加藤士,美浦,,520,差,,,1
,202206050202,5,10,2,牡,55.0,,,,,,,,,斎藤誠,美浦,,520,逃,,,0
,202206050202,6,11,2,牡,53.0,,,,,,,,,松山,美浦,,520,追,,,0
,202206050202,6,12,2,牡,55.0,,,,,,,,,田中博,美浦,,520,先,,,0
,202206050202,7,13,2,牡,55.0,,,,,,,,,奥村武,美浦,,520,先,,,0
,202206050202,7,14,2,牡,55.0,,,,,,,,,岩戸,美浦,,520,差,,,0
,202206050202,8,15,2,牡,55.0,,,,,,,,,蛯名利,美浦,,520,差,,,0
,202206050202,8,16,2,牡,53.0,,,,,,,,,根本,美浦,,520,差,,,0
,202206050203,1,1,2,牡,55.0,,,,,,,,,黒岩,美浦,,520,差,,,0
,202206050203,1,2,2,牡,55.0,,,,,,,,,伊坂,美浦,,520,差,,,0
,202206050203,2,3,2,牡,55.0,,,,,,,,,古賀,美浦,,520,追,,,1
,202206050203,2,4,2,牡,55.0,,,,,,,,,青木,美浦,,520,逃,,,0
,202206050203,3,5,2,牡,55.0,,,,,,,,,池上,美浦,,520,追,,,0
,202206050203,3,6,2,牡,55.0,,,,,,,,,伊藤伸,美浦,,520,差,,,0
,202206050203,4,7,2,牡,55.0,,,,,,,,,西田,美浦,,520,差,,,0
,202206050203,4,8,2,牝,54.0,,,,,,,,,牧,美浦,,520,先,,,0
,202206050203,5,9,2,牝,53.0,,,,,,,,,粕谷,美浦,,520,先,,,0
,202206050203,5,10,2,牝,54.0,,,,,,,,,大江原,美浦,,520,差,,,0
,202206050203,6,11,2,牝,54.0,,,,,,,,,田中博,美浦,,520,差,,,0
,202206050203,6,12,2,牝,54.0,,,,,,,,,村田,美浦,,520,差,,,0
,202206050203,7,13,2,牡,55.0,,,,,,,,,高木,美浦,,520,差,,,0
,202206050203,7,14,2,牝,54.0,,,,,,,,,伊藤大,美浦,,520,差,,,0
