horse_id,race_id,horse_no,rank,goal_time,diff,agari,prize
,202206050201,1,1,1:12.6,-5,37.4,520
,202206050201,6,2,1:13.5,5,39.3,210
,202206050201,16,3,1:13.9,2.1/2,39.6,130
,202206050201,12,4,1:14.0,クビ,39.2,78
,202206050201,9,5,1:14.1,3/4,39.6,52
,202206050201,3,6,1:14.1,ハナ,39.2,0
,202206050201,5,7,1:14.2,1/2,38.8,0
,202206050201,7,8,1:14.3,クビ,38.6,0
,202206050201,8,9,1:14.6,1.3/4,40.1,0
,202206050201,13,10,1:14.9,2,39.5,0
,202206050201,10,11,1:15.0,1/2,39.8,0
,202206050201,14,12,1:15.2,3/4,40.7,0
,202206050201,2,13,1:15.3,3/4,38.8,0
,202206050201,11,14,1:15.5,1.1/4,40.6,0
,202206050201,15,15,1:16.0,3,40.8,0
,202206050201,4,16,1:16.0,クビ,40.3,0
,202206050202,12,1,1:56.6,-3,38.5,520
,202206050202,10,2,1:57.1,3,39.1,210
,202206050202,5,3,1:57.5,2.1/2,39.0,130
,202206050202,4,4,1:57.7,1.1/4,39.3,78
,202206050202,6,5,1:57.7,クビ,39.2,52
,202206050202,7,6,1:57.7,ハナ,39.4,0
,202206050202,1,7,1:58.5,5,40.0,0
,202206050202,9,8,1:58.8,2,40.0,0
,202206050202,11,9,1:59.1,1.1/2,40.0,0
,202206050202,3,10,1:59.4,2,40.5,0
,202206050202,15,11,1:59.4,クビ,41.0,0
,202206050202,14,12,1:59.4,ハナ,41.0,0
,202206050202,2,13,1:59.5,クビ,40.9,0
,202206050202,13,14,2:00.2,4,41.9,0
,202206050202,8,15,2:00.2,アタマ,40.8,0
,202206050202,16,16,2:04.6,大,46.3,0
,202206050203,13,1,2:01.2,-3.1/2,35.3,520
,202206050203,10,2,2:01.8,3.1/2,36.3,210
,202206050203,1,3,2:01.9,1/2,35.9,130
,202206050203,14,4,2:01.9,ハナ,35.8,78
,202206050203,11,5,2:02.1,1.1/4,35.8,52
,202206050203,4,6,2:02.3,1,36.5,0
,202206050203,6,7,2:02.3,ハナ,36.0,0
,202206050203,9,8,2:02.6,2,36.6,0
,202206050203,12,9,2:03.2,3.1/2,36.6,0
,202206050203,15,10,2:03.4,3/4,37.0,0
,202206050203,5,11,2:03.6,1.1/4,37.0,0
,202206050203,16,12,2:03.6,クビ,36.7,0
,202206050203,7,13,2:03.7,クビ,38.2,0
,202206050203,3,14,2:03.8,3/4,36.3,0
,202206050203,2,15,2:04.2,2.1/2,38.4,0
,202206050203,8,16,2:04.8,3.1/2,39.1,0
,202206050204,1,1,1:56.3,-1.1/4,38.6,700
,202206050204,9,2,1:56.5,1.1/4,38.9,280
,202206050204,14,3,1:56.5,クビ,38.9,180
,202206050204,5,4,1:57.1,3.1/2,39.3,110
,202206050204,6,5,1:57.4,1.1/2,38.8,70
,202206050204,12,6,1:57.6,1.1/4,39.9,0
,202206050204,2,7,1:57.9,2,38.8,0
,202206050204,8,8,1:58.0,3/4,40.2,0
,202206050204,13,9,1:58.3,1.3/4,39.8,0
,202206050204,3,10,1:59.0,4,41.5,0
,202206050204,11,11,2:00.1,7,40.9,0
,202206050204,15,12,2:00.3,1,42.3,0
,202206050204,7,13,2:01.0,4,42.2,0
,202206050204,4,14,2:01.8,5,41.5,0
,202206050204,10,15,2:02.5,4,42.0,0
,202206050205,14,1,2:05.0,-アタマ,35.3,700
