race_id,race_date,race_no,baba_id,race_name,race_type,baba,weather,glass_condition,dirt_condition,distance,around,in_out,race_time,hold_no,hold_date,race_class,grade,require_age,require_gender,require_country,require_local,load_kind,first_prize,second_prize,third_prize,fourth_prize,fifth_prize,regist_num,run_num
202206050201,,01,06,2歳未勝利,平,ダ,晴,,良,1200,右,,09:50,5,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,16,16
202206050202,,02,06,2歳未勝利,平,ダ,晴,,良,1800,右,,10:15,5,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,16,16
202206050203,,03,06,2歳未勝利,平,芝,晴,良,,2000,右,,10:45,5,2,未勝利,,2歳,,混,,馬齢,520,210,130,78,52,16,16
202206050204,,04,06,2歳新馬,平,ダ,晴,,良,1800,右,,11:15,5,2,新馬,,2歳,,,,馬齢,700,280,180,110,70,15,15
202206050205,,05,06,2歳新馬,平,芝,晴,良,,2000,右,,12:05,5,2,新馬,,2歳,,混,,馬齢,700,280,180,110,70,14,14
202206050206,,06,06,2歳1勝クラス,平,ダ,晴,,良,1200,右,,12:35,5,2,1勝クラス,,2歳,,混,特指,馬齢,750,300,190,110,75,12,12
202206050207,,07,06,3歳以上1勝クラス,平,ダ,曇,,良,1200,右,,13:05,5,2,1勝クラス,,3歳以上,,混,,定量,770,310,190,120,77,16,16
202206050208,,08,06,3歳以上2勝クラス,平,ダ,曇,,良,1800,右,,13:35,5,2,2勝クラス,,3歳以上,,混,,定量,1110,440,280,170,111,16,16
202206050209,,09,06,南総S,平,芝,曇,良,,1200,右,外,14:05,5,2,3勝クラス,3勝,3歳以上,,混,,ハンデ,1840,740,460,280,184,16,16
202206050210,,10,06,市川S,平,ダ,曇,,良,1800,右,,14:40,5,2,3勝クラス,3勝,3歳以上,,混,,ハンデ,1840,740,460,280,184,16,16
202206050211,,11,06,ラピスラズリS,平,芝,曇,良,,1200,右,外,15:20,5,2,オープン,L,3歳以上,,国,特指,別定,2500,1000,630,380,250,16,16
202206050212,,12,06,3歳以上2勝クラス,平,芝,曇,良,,2500,右,,16:01,5,2,2勝クラス,,3歳以上,,混,特指,定量,1110,440,280,170,111,10,10
202209060201,,01,09,2歳未勝利,平,ダ,曇,,稍,1400,右,,10:05,6,2,未勝利,,2歳,牝,,,馬齢,520,210,130,78,52,13,13
202209060202,,02,09,2歳未勝利,平,芝,曇,良,,2000,右,,10:35,6,2,未勝利,,2歳,,混,,馬齢,520,210,130,78,52,11,11
202209060203,,03,09,2歳未勝利,平,ダ,曇,,稍,1800,右,,11:05,6,2,未勝利,,2歳,,,,馬齢,520,210,130,78,52,11,11
202209060204,,04,09,3歳以上障害未勝利,障,芝ダ,曇,良,稍,2970,,,11:35,6,2,未勝利,,3歳以上,,混,,定量,790,320,200,120,79,8,8
