race_id,corner1_rank,corner2_rank,corner3_rank,corner4_rank,lap_distance,lap_time
202206050201,,,(*6|16)(8|14|9)12(3|11)-(1|10|15)(5|13)(4|7)-2,(*6|16)9(8|12)(3|1)(5|14)11(4|7|15)10|13-2,200|400|600|800|1000|1200,11.7|22.3|34.2|47.0|59.9|72.6
202206050202,10|12(7|14)4|13(1|9|5|15)3-6(2|16)-(11|8),10(12|14)(7|4)13(1|9|15)5(3|6|16)(2|8)11,(*10|12)(7|4|14|16|13|15)(1|5|6)2(3|9)11-8,(*10|12)(7|4|13|15)(5|6)1(14|9)(3|2)11-(16|8),200|400|600|800|1000|1200|1400|1600|1800,12.7|24.5|38.0|51.9|64.9|78.0|91.3|103.8|116.6
202206050203,7(10|8)2(4|13)1(9|14)-(6|15)-12|5-11-16|3,7(10|8)2(4|13)1(9|14)-(6|15)-(12|5)-11-16-3,(*7|10)8(2|4|13)(1|9|14)(6|11)15(12|5)-16-3,(7|*10|13)(2|4|14)(1|8|11)(6|9)(15|5)12|16-3,200|400|600|800|1000|1200|1400|1600|1800|2000,12.6|23.7|35.9|48.5|61.0|73.2|85.5|97.7|109.1|121.2
202206050204,3(8|9)(1|6|15)(4|7|5|14)-(2|11|12)-(10|13),(*3|8|9)(1|15)(6|14)(4|7|5|12)2(11|13)10,(*3|9|14)(1|12)(8|5)15-13|6|7-2|11=4|10,(3|*9|14)(1|8|5|12)-6(15|13)-(7|2|11)=(4|10),200|400|600|800|1000|1200|1400|1600|1800,12.7|24.8|38.6|52.6|65.3|77.5|90.2|103.3|116.3
202206050205,(*5|8)12(3|4)14|1(10|6)11|2-9|13-7,5|8|12(3|4)14|1(10|6)11|2-(9|13)-7,(*5|8)12(3|4|14|13)(1|10|11)(2|6)-9|7,(*5|8)(3|4|12|14)13(1|10|11)(2|6)9|7,200|400|600|800|1000|1200|1400|1600|1800|2000,12.9|24.5|37.0|50.2|63.3|76.4|89.4|101.9|113.4|125.0
202206050206,,,7(1|4|11)(8|9)(5|10)(2|12)(3|6),(4|*7|11)9|8(1|5|10)(12|6)(2|3),200|400|600|800|1000|1200,11.7|22.2|33.3|45.6|58.1|71.1
202206050207,,,(15|*11)(9|13|16)(3|12|14)(1|10)(5|7)(4|8|6)2,(15|*11)(9|12|13|16)14(3|10)(1|7)(4|5)(8|6)2,200|400|600|800|1000|1200,12.0|22.6|34.0|46.2|58.8|71.5
202206050208,3(6|4)1(5|10|15)(8|7|12|16)(11|14)2|13-9,3(6|4)1(5|10|15)(8|12|16)7(11|14)2|13-9,(3|*6|4)(1|15|14)(5|10)(12|13)(7|11)(8|16)2|9,(*3|6|4)14(1|15)(10|12)(7|5|13)(2|11)(8|9)16,200|400|600|800|1000|1200|1400|1600|1800,12.6|24.9|37.8|50.6|62.9|74.9|87.4|100.1|113.0
202206050209,,,6|10(1|11)12(2|8|5)(9|14)(4|13|16)3|7|15,(*6|10)(1|11)(5|12)(2|8)9(13|14)(4|3|16)(7|15),200|400|600|800|1000|1200,11.8|22.6|33.8|45.1|56.1|67.8
202206050210,(*7|12)-15-4-11(9|16)10(8|6)5|2|14(1|13)-3,7|12=15|4-11(9|16)(8|10|6)5(2|14)(1|13)-3,12|7=15|4(16|11)6(9|10)5(8|14)13(2|1|3),12=4(16|7|15)6(10|11)9(8|5)(2|13|14)(1|3),200|400|600|800|1000|1200|1400|1600|1800,12.5|23.7|35.5|47.7|59.9|72.5|85.0|97.6|111.0
